ABAJO	DOWN
Pantalla	Screen
Paralelo	Parallel
Partir	Split
PartirFichero	SplitFile
Pausa	Pause
PausarTask	PauseTask
PedirTexto	RequestText
Pendiente	Pending
PerfilCargado	ProfileLoaded
PerfilElegir	ProfileChoose
PerfilGuardado	ProfileSaved
PerfilGuardarComo	ProfileSaveAs
PerfilVecino	ProfileVecino
Perfiles	Profiles
Permisos	Permissions
PestanaNueva	TabNew
PideSecreto	AsksSecret
PlanDeLote	BatchPlan
PlanOrganizar	PlanOrganize
PlantillaLote	TemplateBatch
PluginsDeAyuda	HelpPlugins
PluginsDePaleta	PalettePlugins
Populares	Popular
PorDefecto	Default
PreviewContenido	PreviewContent
PrimeraPagina	FirstPage
Progreso	Progress
Puerta	Gate
Quieto	Idle
RAIZ	ROOT
RSA_MINIMO_BITS	RSA_MIN_BITS
RamasDeArbol	TreeBranches
Rastro	Trail
Recorte	Crop
Refrescar	Refresh
RegistroNivel	LogLevel
RegistroRemoto	LogRemote
RegistroTic	LogTic
Reintentar	Retry
ReintentarTask	RetryTask
Reintento	Retry
Rejilla	Grid
Relevado	HandedOff
Relevo	Handoff
RenameLote	RenameBatch
Renombrar	Rename
RespuestaListado	ResponseListing
RestaurarMarcas	RestoreMarks
Resultado	RunOutcome
Resultados	Results
RevisionOrganizar	RevisionOrganize
Rotulos	Labels
RutaSource	PathSource
SECCION_COMANDOS	SECTION_COMMANDS
SECCION_CONEXIONES	SECTION_CONNECTIONS
SECCION_FAVORITOS	SECTION_FAVORITES
SECCION_HISTORIA	SECTION_HISTORY
SECCION_INDICE	SECTION_INDEX
SECCION_POPULARES	SECTION_POPULAR
SECCION_RUTA	SECTION_PATH
SECRETO	SECRET
SESION_TIC	SESSION_TIC
SIGUEN_AL_CURSOR	FOLLOW_THE_CURSOR
SLOT_LINEA	SLOT_LINE
SLOT_MAPA	SLOT_MAP
SONDEO	PROBE
SONDEOS_A_LA_VEZ	POLLS_AT_ONCE
SOPORTE	SUPPORT
SalidaDeComando	CommandOutput
SalidaPedida	OutputPedida
Salir	Exit
SaltoAtras	JumpBack
SeEjecuta	Runs
Secreto	Secret
SecretoEntregado	SecretEntregado
SeleccionDeTema	ThemeSelection
Semanticos	Semantic
Sesion	Session
SesionPuesta	SessionPlaced
SesionReleida	SessionReleida
SesionTic	SessionTic
SinAnillo	NoRing
SinIndice	NoIndex
SinPrograma	NoProgram
SinRespuesta	NoResponse
Sincronizacion	Sync
Sincronizar	Sync
Sirve	Serves
SitiosVolumenes	PlacesVolumes
SoloLectura	SoloRead
Soltar	Release
SpoolsBarridos	SpoolsSweeps
SpoolsSinBarrer	UnsweptSpools
Subir	Up
Sumas	Checksums
SumasEnVuelo	ChecksumsInFlight
SumasEncoladas	ChecksumsEncoladas
SyncAplicando	SyncApplying
SyncNoAplicado	SyncNoApplied
TABLA	TABLE
TECLAS	KEYS
TECLAS_LIGABLES	KEYS_LIGABLES
TECLAS_STREAM	KEYS_STREAM
TODA	ALL
TODAS	ALL
TOPE	CAP
TOPE_DEL_INDICE	INDEX_CAP
TOPE_POR_SECCION	CAP_PER_SECTION
TRAIDAS_POR_LISTA	BROUGHT_BY_LIST
TRES	THREE
Tamano	Size
TamanoDeDirectorio	DirectorySize
TaskDeLoteRechazada	BatchTaskRejected
TaskFallida	TaskFailed
TaskNueva	TaskNew
Tecleado	Typed
Tema	Theme
TemaPersistido	ThemePersistido
TemaResuelto	ThemeResolved
Terminada	Finished
Texto	Text
Tira	Strip
Todo	All
Traer	Bring
TrasConfianza	AfterTrust
USUARIO	USER
UndoDeSesion	SessionUndo
VACIO	EMPTY
VENTANA_COMPARACION	WINDOW_COMPARISON
Ver	View
Veredicto	Verdict
Vigencia	Validity
Volumenes	Volumes
VolumenesDeLado	SideVolumes
VolumenesDePie	FooterVolumes
YaNoEsElFichero	NoLongerTheFile
ZONA_PERMITIDA	ZONE_PERMITIDA
ZoomAjustar	ZoomFit
_anillo	_ring
_avisos	_notices
_ignora	_ignores
_ordenes	_commands
_progreso	_progress
a_deshacer	to_undo
a_donde	where_to
a_treinta_columnas_se_pinta_un_solo_pane_a_ancho_completo	at_thirty_columns_a_single_pane_paints_at_full_width
abajo	down
abajo_entra_por_encima_de_la_barra_de_estado	below_enters_above_the_status_bar
abierta	open
abiertas	open
abierto	open
abiertos	open
abre	opens
abre_parcial_verificado	opens_partial_verificado
abre_staging_estable	opens_staging_estable
abrir	open
abrir_agentes	open_agents
abrir_ajustes	open_settings
abrir_al_crear	open_on_create
abrir_aprobacion	open_approval
abrir_asistente	open_wizard
abrir_ayuda	open_help
abrir_columnas	open_columns
abrir_con	open_with
abrir_conexiones	open_connections
abrir_disposiciones	open_layouts
abrir_el_preview_no_se_lleva_el_teclado	opening_the_preview_does_not_take_the_keyboard
abrir_el_sidebar_no_toca_los_lados	opening_the_sidebar_does_not_touch_the_sides
abrir_extensiones	open_extensions
abrir_externo	open_external
abrir_historial	open_history
abrir_historial_de_lado	open_side_history
abrir_hotlist	open_hotlist
abrir_hueco_de_kind	open_slot_of_kind
abrir_informe	open_report
abrir_ir_a	open_go_to
abrir_lista_de_historia	open_history_list
abrir_lo_comprobado	open_the_checked
abrir_lo_creado	open_the_created
abrir_menu	open_menu
abrir_paleta	open_palette
abrir_panel_de_sync	open_sync_panel
abrir_panel_de_terminal	open_terminal_panel
abrir_populares	open_popular
abrir_revision	open_revision
abrir_splash	open_splash
abrir_sumas	open_checksums
abrir_tema	open_theme
abrir_terminal	open_terminal
abrir_una_pestana_desde_un_panel_suelto_lo_envuelve	opening_a_tab_from_a_loose_pane_wraps_it
abrir_visor	open_visor
abrir_volumenes	open_volumes
abrir_volumenes_con	open_volumes_with
abrir_volumenes_de_lado	open_side_volumes
abrir_volumenes_en	open_volumes_in
abrirlo_dos_veces_no_acuna_dos_huecos	opening_it_twice_does_not_nest_two_slots
acabo	ended
access_key_o_secret_vacios_son_error_local	empty_access_key_or_secret_is_local_error
accion	action
accion_de_comparacion	comparison_action
accion_ejecutable	action_executable
acciones	actions
acciones_de_ajustes	settings_actions
acciones_de_cromo	chrome_actions
acciones_de_fila	row_actions
acciones_de_overlay	overlay_actions
acciones_de_pantalla	screen_actions
acciones_del_host	host_actions
acciones_del_renderer	renderer_actions
acepta	accepts
acercar	zoom_in
acoplado	docked
acorde	chord
acorde_de_dialogo	dialog_chord
acorde_de_salida	exit_chord
activar	activate
activar_ajuste	activate_setting
activar_ajuste_por_raton	activate_setting_by_mouse
activar_clave	activate_key
activar_del_menu	activate_from_menu
activar_en_ayuda	activate_in_help
activar_fila_de_asistente	activate_wizard_row
activar_fila_de_splash	activate_splash_row
activar_perfil_de_fila	activate_profile_from_row
activar_pestana	activate_tab
activar_sitio	activate_place
activar_sitio_del_cursor	activate_place_at_cursor
activo	active
actuar_en_ayuda	act_in_help
adelante	forward
agarrar_antes_del_separador_no_salta_una_celda	grabbing_before_the_separator_does_not_skip_a_cell
agarrar_el_borde_no_selecciona_una_fila	grabbing_the_edge_does_not_select_a_row
age_sin_passphrase_es_error_si_existe_el_fichero	age_without_passphrase_is_an_error_if_the_file_exists
agent_es_anonimo_sin_secreto	agent_is_anonymous_without_a_secret
agente_ausente_es_error_claro	missing_agent_is_a_clear_error
agentes_de_referencia	reference_agents
agrandar_mueve_un_hijo_fijo_en_celdas	growing_moves_a_fixed_child_in_cells
agrandar_sube_el_peso_hasta_el_tope	growing_raises_the_weight_up_to_the_cap
agrandar_un_panel_le_da_sitio_y_al_otro_se_lo_quita	growing_one_pane_gives_it_room_and_takes_it_from_the_other
aguja	needle
ahora	now
ahora_ms	now_ms
ai_rename_confirm_vacio_no_devuelve_y_deja_diagnostico	ai_rename_confirm_empty_does_not_return_and_leaves_a_diagnostic
ai_rename_instruccion_conserva_texto_tras_fallo	ai_rename_instruction_keeps_text_after_failure
ajena	foreign
ajeno	foreign
ajuste_de	setting_of
ajuste_escrito	setting_written
ajuste_restablecido	setting_restablecido
ajustes	settings
ajustes_de_prueba	test_settings
ajustes_de_referencia	reference_settings
ajustes_escritura	settings_write
ajustes_extensiones	settings_extensions
ajustes_movidos	settings_movidos
ajustes_por_defecto	default_settings
ajustes_sobre	settings_over
al_abrir	on_open
al_bajar_el_tope_la_rama_de_delante_pierde_su_punta_lejana	lowering_the_cap_makes_the_forward_branch_lose_its_far_tip
al_cerrar_la_ultima_pestana_el_pane_recupera_su_fila	closing_the_last_tab_the_pane_recovers_its_row
al_confirmar	on_confirm
al_terminar_una_copia_se_relista_el_destino	finishing_a_copy_relists_the_destination
al_tomar_el_relevo_no_se_pisa_lo_que_guardaba_la_otra	taking_the_handoff_does_not_overwrite_what_the_other_saved
al_tomar_la_propiedad_se_vuelve_a_escribir	taking_ownership_writes_again
algo_encima_del_visor	something_above_the_viewer
algo_se_queda_las_teclas	something_keeps_the_keys
allow_con_cert_invalido_falla_cerrado	allow_with_invalid_cert_fails_closed
allow_degrada_a_plano_si_no_hay_tls	allow_degrades_to_plaintext_if_there_is_no_tls
almacen	store
alt_solo_abre_y_pliega_el_menu	alt_alone_opens_and_folds_the_menu
alt_solo_no_abre_el_menu_encima_de_un_dialogo	alt_alone_does_not_open_the_menu_over_a_dialog
alterado	altered
alterna	toggles
alternar_cola	toggle_cola
alternar_espejo_permanente	toggle_mirror_permanent
alternar_hueco	toggle_slot
alternar_menu	toggle_menu
alternar_ocultos	toggle_hidden
ambiguous_mutation_aplica_el_efecto_y_falla_transitorio	ambiguous_mutation_applies_the_effect_and_fails_transiently
ambiguous_mutation_cubre_las_cuatro_mutaciones	ambiguous_mutation_covers_the_four_mutations
anadir_un_favorito_lo_pinta_tambien_en_el_sidebar	adding_a_favorite_also_paints_it_in_the_sidebar
ancha	wide
ancho	width
ancho_c	width_c
ancho_de	width_of
ancho_en	width_in
ancho_izq	width_left
ancho_pedido	width_requested
ancho_soltado	width_released
ancho_zona	width_zone
anchos_de_preview_tras	preview_widths_after
ancla	anchor
ancla_leida	anchor_read
anillo	ring
anota_desenlace_de_lote	records_batch_outcome
anotar_tira	anotar_strip
anterior_foco	anterior_focus
antes	before
apaga_el_aviso	turns_off_the_notice
apagar	turn_off
apartar_una_pestana_no_cambia_la_que_se_esta_mirando	detaching_a_tab_does_not_change_the_one_being_viewed
apertura	opening
apilar_dialogo	apilar_dialog
aplicada	applied
aplicados	applied
aplicar	apply
aplicar_accion	apply_action
aplicar_adornos	apply_adornos
aplicar_arbol	apply_tree
aplicar_capacidades	apply_capabilities
aplicar_catalogo	apply_catalog
aplicar_catalogo_de_extensiones	apply_extensions_catalog
aplicar_catalogo_de_plugins	apply_plugins_catalog
aplicar_columnas	apply_columns
aplicar_conexiones	apply_connections
aplicar_config	apply_config
aplicar_de_fondo	apply_in_background
aplicar_desconexion	apply_desconexion
aplicar_disposicion	apply_layout
aplicar_disposicion_con	apply_layout_with
aplicar_disposicion_elegida	apply_layout_chosen
aplicar_efecto	apply_effect
aplicar_escritura	apply_write
aplicar_estilo	apply_style
aplicar_evento_de_sync	apply_sync_event
aplicar_ficha	apply_detail
aplicar_filas_comparadas	apply_rows_comparadas
aplicar_filas_de_plugin	apply_plugin_rows
aplicar_gobierno	apply_governance
aplicar_imagen	apply_imagen
aplicar_lote	apply_batch
aplicar_miniatura	apply_thumbnail
aplicar_pagina_de_plugin	apply_plugin_page
aplicar_patron	apply_patron
aplicar_perfil	apply_profile
aplicar_plan	apply_plan
aplicar_plan_de_lote	apply_batch_plan
aplicar_plan_de_organizar	apply_organize_plan
aplicar_plan_ia	apply_plan_ia
aplicar_ramas	apply_branches
aplicar_resultados	apply_results
aplicar_salida	apply_output
aplicar_semanticos	apply_semantic
aplicar_sesion	apply_session
aplicar_si_cabe	apply_si_fits
aplicar_sitios	apply_places
aplicar_sondas	apply_sondas
aplicar_tema	apply_theme
aplicar_volumenes	apply_volumes
aplicar_volumenes_de_pie	apply_footer_volumes
app_con_arbol	app_with_tree
app_con_gestor	app_with_manager
app_con_imagen_colocada	app_with_placed_image
app_con_las_dos_fuentes	app_with_both_sources
app_de_prueba	test_app
app_de_prueba_con	test_app_with
app_dos_panes	app_two_panes
app_remota	app_remote
app_vacia	app_empty
apply_cd_swapped_reconcilia_el_estado_del_run_loop	apply_cd_swapped_reconciles_run_loop_state
aprobacion_aprueba_con_approve_y_deniega_con_deny_cancel	approval_approves_with_approve_and_denies_with_deny_cancel
aprobacion_ignora_confirm	approval_ignores_confirm
aprobaciones	approvals
aprobada	approved
aprobar_o_denegar	approve_or_deny
aprobar_pregunta_y_enumera_las_capabilities	approving_asks_and_lists_the_capabilities
aprobar_revision_ia	approve_revision_ia
aprobar_revision_organizar	approve_revision_organize
aqui	here
arb_bindings_contador	arb_bindings_counter
arb_pulsacion	arb_keypress
arbol	tree
arbol_arbitrario	tree_arbitrario
arbol_como_falso	tree_as_fake
arbol_con_esquema	tree_with_scheme
arbol_con_hallazgos	tree_with_findings
arbol_con_plugins	tree_with_plugins
arbol_con_ramas	tree_with_branches
arbol_de	tree_of
arbol_de_arranque	startup_tree
arbol_de_organizar_de_referencia	reference_organize_tree
arbol_de_prueba	test_tree
arbol_de_ramas	branch_tree
arbol_grande_con_plugins	large_tree_with_plugins
arbol_layout	tree_layout
arbol_mio	tree_mio
arbol_ponderado	tree_ponderado
archive_limits_ultimo_gana_y_proyecto_no_los_toca	archive_limits_last_one_wins_and_project_does_not_touch_them
archivo	archive
area_no_vacia	area_no_empty
args_mal_tipados_son_error_no_degradacion	args_bad_tipados_son_error_no_degradacion
argv_resuelto	argv_resolved
arrancar	start
arrancar_con	start_with
arrancar_con_marca	start_with_mark
arrancar_si_falta	start_si_missing
arranque	startup
arrastra	drags
arrastrar_borde	drag_edge
arrastrar_el_borde_de_un_fijo_lo_escribe_en_celdas	dragging_the_edge_of_a_fixed_one_writes_it_in_cells
arrastrar_el_borde_de_una_columna_cambia_su_ancho_y_pide_guardarlo	dragging_a_column_edge_changes_its_width_and_asks_to_save_it
arrastrar_el_borde_mueve_la_frontera_entre_los_panes	dragging_the_edge_moves_the_boundary_between_the_panes
arrastrar_el_borde_reparte_la_pareja	dragging_the_edge_splits_the_pair
arrastrar_el_borde_reparte_los_dos_huecos	dragging_the_edge_splits_the_two_slots
arrastrar_el_titulo_mueve_el_panel	dragging_the_title_moves_the_pane
arrastrar_hasta_el_extremo_deja_hueco_a_los_dos	dragging_to_the_end_leaves_room_for_both
arrastrar_pareja	drag_pair
arrastrar_una_pareja_no_aplasta_al_tercero	dragging_a_pair_does_not_crush_the_third
arriba	up
asistente	wizard
asistente_de_referencia	reference_wizard
ask_secret_acepta_confirm_y_no_approve	ask_secret_accepts_confirm_and_not_approve
ask_secret_vacio_no_confirma_pero_si_cancela	ask_secret_empty_does_not_confirm_but_does_cancel
assert_fila	assert_row
ata	binds
atado	bound
atar_la_creacion	bind_the_creation
atenuado	dimmed
aterriza_en	lands_on
aterrizar	land
aterrizar_listado	land_listing
aterrizar_lote	land_batch
aterrizar_mapa	land_map
aterrizar_nivel	land_level
aterrizar_nivel_remoto	land_level_remote
aterrizar_pagina	land_page
aterrizar_panel	land_panel
aterrizar_preview	land_preview
aterrizar_registro_remoto	land_log_remote
aterrizar_sondas	land_sondas
aterrizar_tail	land_tail
atras	back
atributos_procesos	attributes_processes
auth_degrada_a_permission_denied	auth_degrades_to_permission_denied
auth_key_no_aplica_a_ftp	auth_key_does_not_apply_to_ftp
auth_por_agente	auth_by_agent
auth_por_clave_ed25519_cifrada	auth_by_encrypted_ed25519_key
auto_usa_kitty_solo_si_el_terminal_sabe	auto_uses_kitty_only_if_terminal_knows
avisa	warns
avisar_de_aprobacion	notify_of_approval
avisar_del_desenlace	notify_of_outcome
aviso	notice
aviso_de_arranque	startup_notice
aviso_de_daemon	daemon_notice
aviso_de_imagen	image_notice
aviso_de_nivel	level_notice
aviso_de_plugin	plugin_notice
aviso_layout	notice_layout
avisos	notices
avisos_de_destino	destination_notices
avisos_plugin	notices_plugin
avisos_rx	notices_rx
avisos_tx	notices_tx
ayuda	help
ayuda_con_fila	help_with_row
ayuda_de_extension	extension_help
ayuda_de_referencia	reference_help
back_dado	back_given
backend_falso	backend_fake
badge_sobrevive_al_truncado_en_pane_estrecho	badge_survives_truncation_in_a_narrow_pane
bajar	down
bajar_region	down_region
bajo	below
bajo_el_cursor	under_the_cursor
banda	band
banner_nuevo	banner_new
barra	bar
barra_de_paneles_de_referencia	reference_pane_bar
barra_de_sitios	places_bar
barra_en_columna	bar_in_column
barra_nueva	bar_new
base_de_trozos	chunk_base
begin_search_limpia_los_previews_anteriores	begin_search_clears_previous_previews
bindings_expuestos_reflejan_las_capas	exposed_bindings_reflect_the_layers
bindings_solo_devuelve_lo_ejecutable	bindings_only_returns_what_is_executable
blocks_a_kitty_no_toca_el_modo_pineado	blocks_to_kitty_does_not_touch_pinned_mode
blocks_no_usa_kitty_aunque_el_terminal_sepa	blocks_does_not_use_kitty_even_if_the_terminal_knows
bloque	block
bloques	blocks
bombear_avisos_de_plugin	pump_plugin_notices
bombear_tic_de_sesion	pump_session_tick
borde	edge
borde_de_la_segunda_columna	edge_of_the_second_column
borde_y	border_and
borrado	deleted
borrar	delete
borrar_celdas	delete_cells
borrar_colocada	delete_placed
borrar_de_verdad	delete_for_real
borrar_fila	delete_row
borrar_linea	delete_line
borrar_nombra_solo_ese_id_y_libera_los_datos	deleting_names_only_that_id_and_frees_the_data
borrar_pantalla	delete_screen
boton	button
boton_de_pestana	tab_button
botones	buttons
botones_de_paneles	pane_buttons
buenas	good
build_diagnostics_keymap_valido_sin_hallazgos	build_diagnostics_valid_keymap_without_findings
build_diagnostics_lua_charset_invalido_es_structural	build_diagnostics_lua_charset_invalid_es_structural
build_diagnostics_reporta_todos_los_desconocidos_en_una_pasada	build_diagnostics_reports_all_unknowns_in_one_pass
build_valida_contra_el_known_commands_dado	build_validates_against_the_given_known_commands
buscar	search
buscar_ajuste	search_setting
buscar_finds_by_wire_name	search_finds_by_wire_name
buscar_rapido	search_fast
busqueda	search
busqueda_de_referencia	reference_search
busqueda_rota	search_broken
buzon_fichero	buzon_file
bytes_de_carga	payload_bytes
bytes_de_ruta	path_bytes
cabe	fits
cabecera	header
cabecera_de	header_of
cabeceras	headers
cabeceras_de_todos	headers_of_all
cabeza	head
cada_boton_de_la_barra_cae_en_su_sitio	every_bar_button_falls_into_its_place
cada_cambio_cruza_el_bridge	every_change_crosses_the_bridge
cada_color_acordado_lo_gasta_la_hoja	every_agreed_color_is_spent_by_the_sheet
cada_hueco_del_nucleo_en_un_preset_esta_decidido	every_core_slot_in_a_preset_is_decided
cada_motivo_tiene_su_veredicto	every_reason_has_its_verdict
cada_nivel_tiene_su_letra	every_level_has_its_letter
cada_pestana_conserva_su_cursor	every_tab_keeps_its_cursor
cada_pestana_conserva_su_historial	every_tab_keeps_its_history
cada_prefijo_resuelve_a_lo_suyo	every_prefix_resolves_to_its_own
cada_variable_de_color_la_alimenta_el_tema	every_color_variable_is_fed_by_the_theme
cada_variante_de_enum_tiene_su_fixture	every_enum_variant_has_its_fixture
caduca_aprobacion	expires_approval
caducar_aviso	caducar_notice
calculada	computed
calculado	computed
calcular_sumas_abre_el_dialogo_con_sus_filas	calculating_checksums_opens_the_dialog_with_its_rows
cambia	changes
cambia_de_perfil	switches_profile
cambia_el_estado	changes_the_state
cambia_esquema	changes_scheme
cambiado	changed
cambian_cabeceras	change_headers
cambiar_de_layout_conserva_los_listados_que_ya_habia	changing_layout_keeps_the_listings_that_were_already_there
cambiar_de_listado_cambia_el_objetivo	changing_listing_changes_the_target
cambiar_de_listado_cambia_lo_que_ensena	changing_listing_changes_what_it_shows
cambiar_de_perfil	switch_profile
cambiar_de_raiz_vacia_lo_leido	changing_root_empties_what_was_read
cambiar_lado	change_side
cambiar_permisos	change_permissions
cambiar_permisos_teclea_y_encola	changing_permissions_types_and_queues
cambiar_tema	change_theme
cambio	change
cambio_de_banners	banner_change
cambio_de_conexion	connection_change
cambio_de_filas	row_change
cambio_de_filas_de	row_change_for
cambios	changes
cambios_de_linea	line_changes
cambios_de_listado	listing_changes
cambios_de_overlay	overlay_changes
cambios_de_pantalla	screen_changes
cambios_del_listado	listing_changes
cambios_del_resto	rest_changes
campo	field
campo_ilegible	field_unreadable
campos	fields
campos_de_busqueda	search_fields
campos_s3_opcionales_no_rompen_sftp	optional_s3_fields_do_not_break_sftp
