dos_paneles_con_destino_aparte	two_panes_with_separate_destination
arrastrar_hasta_el_extremo_deja_hueco_a_los_dos	dragging_to_the_end_leaves_room_for_both
arrastrar_una_pareja_no_aplasta_al_tercero	dragging_a_pair_does_not_crush_the_third
ask_secret_vacio_no_confirma_pero_si_cancela	ask_secret_empty_does_not_confirm_but_does_cancel
badge_sobrevive_al_truncado_en_pane_estrecho	badge_survives_truncation_in_a_narrow_pane
begin_search_limpia_los_previews_anteriores	begin_search_clears_previous_previews
bindings_solo_devuelve_lo_ejecutable	bindings_only_returns_what_is_executable
blocks_no_usa_kitty_aunque_el_terminal_sepa	blocks_does_not_use_kitty_even_if_the_terminal_knows
borrar_nombra_solo_ese_id_y_libera_los_datos	deleting_names_only_that_id_and_frees_the_data
build_diagnostics_reporta_todos_los_desconocidos_en_una_pasada	build_diagnostics_reports_all_unknowns_in_one_pass
build_valida_contra_el_known_commands_dado	build_validates_against_the_given_known_commands
cada_boton_de_la_barra_cae_en_su_sitio	every_bar_button_falls_into_its_place
cada_cambio_cruza_el_bridge	every_change_crosses_the_bridge
cada_color_acordado_lo_gasta_la_hoja	every_agreed_color_is_spent_by_the_sheet
cada_hueco_del_nucleo_en_un_preset_esta_decidido	every_core_slot_in_a_preset_is_decided
cada_motivo_tiene_su_veredicto	every_reason_has_its_verdict
cada_nivel_tiene_su_letra	every_level_has_its_letter
cada_pestana_conserva_su_cursor	every_tab_keeps_its_cursor
cada_pestana_conserva_su_historial	every_tab_keeps_its_history
cada_prefijo_resuelve_a_lo_suyo	every_prefix_resolves_to_its_own
cada_variable_de_color_la_alimenta_el_tema	every_color_variable_is_fed_by_the_theme
cada_variante_de_enum_tiene_su_fixture	every_enum_variant_has_its_fixture
calcular_sumas_abre_el_dialogo_con_sus_filas	calculating_checksums_opens_the_dialog_with_its_rows
cambiar_de_layout_conserva_los_listados_que_ya_habia	changing_layout_keeps_the_listings_that_were_already_there
cambiar_de_listado_cambia_el_objetivo	changing_listing_changes_the_target
cambiar_de_listado_cambia_lo_que_ensena	changing_listing_changes_what_it_shows
cambiar_de_raiz_vacia_lo_leido	changing_root_empties_what_was_read
cambiar_permisos_teclea_y_encola	changing_permissions_types_and_queues
campos_s3_opcionales_no_rompen_sftp	optional_s3_fields_do_not_break_sftp
cancel_del_agente_retira_el_ask_el_humano_no_ejecuta	agent_cancel_withdraws_the_ask_the_human_does_not_execute
cancelar_el_plan_desde_el_tablero_lo_dice_en_el_panel	cancelling_the_plan_from_the_dashboard_says_so_in_the_pane
cancelar_mata_el_script_y_sus_tasks	cancelling_kills_the_script_and_its_tasks
cancelar_suelta_el_teclado_y_su_tecla_cierra_desde_dentro	cancelling_releases_the_keyboard_and_its_key_closes_from_inside
cancelar_una_colision_no_reintenta	cancelling_a_collision_does_not_retry
cancelled_abandona_el_tool_en_vuelo_sin_respuesta	cancelled_abandons_the_in_flight_tool_without_a_response
capa_puede_extender_dialog	layer_can_extend_dialog
capturar_y_aplicar_es_la_identidad	capture_and_apply_is_the_identity
cerrado_no_pinta_nada	closed_paints_nothing
cerrar_devuelve_el_arbol_de_antes	closing_returns_the_previous_tree
cerrar_el_selector_sin_elegir_no_transfiere	closing_the_selector_without_choosing_does_not_transfer
cerrar_el_sidebar_devuelve_el_arbol_de_antes	closing_the_sidebar_returns_the_previous_tree
cerrar_el_unico_hueco_no_se_hace_solo	closing_the_only_slot_does_not_happen_by_itself
cerrar_el_visor_limpia_tambien_su_miniatura	closing_the_viewer_also_clears_its_thumbnail
cerrar_la_penultima_pestana_disuelve_el_grupo	closing_the_second_to_last_tab_dissolves_the_group
cerrar_suelta_las_lineas_pero_no_lo_que_se_sabe_del_daemon	closing_releases_the_lines_but_not_what_is_known_about_the_daemon
cerrar_un_hueco_deja_su_estado_huerfano	closing_a_slot_leaves_its_state_orphaned
cerrar_un_hueco_disuelve_el_split_de_dos	closing_a_slot_dissolves_the_split_of_two
cerrar_un_hueco_se_lleva_su_tamano	closing_a_slot_takes_its_size_with_it
cerrar_un_panel_suelto_no_es_cerrar_una_pestana	closing_a_loose_pane_is_not_closing_a_tab
cerrar_una_pestana_anterior_arrastra_el_activo	closing_an_earlier_tab_drags_the_active_one
chord_malo_gana_al_comando_desconocido	bad_chord_wins_over_unknown_command
clave_de_otro_algoritmo_es_mismatch_no_unknown	key_of_another_algorithm_is_a_mismatch_not_unknown
clave_desconocida_es_error_claro	unknown_key_is_a_clear_error
clave_rsa_con_allow_rsa_autentica	rsa_key_with_allow_rsa_authenticates
clave_rsa_contra_servidor_solo_sha1_es_error	rsa_key_against_sha1_only_server_is_an_error
clave_rsa_rechazada_sin_red	rsa_key_rejected_without_network
clic_en_una_fila_del_gestor_la_elige_y_repetirlo_abre_sus_ajustes	clicking_a_manager_row_selects_it_and_repeating_it_opens_its_settings
cmd_es_su_propio_modificador_y_no_es_ctrl	cmd_is_its_own_modifier_and_is_not_ctrl
colision_elige_politica_o_cancela	collision_chooses_policy_or_cancels
colision_ignora_confirm_y_deny	collision_ignores_confirm_and_deny
colocar_lleva_el_id_el_tamano_y_base64	placing_carries_the_id_the_size_and_base64
columna_plugin_configurada_pinta_cabecera_y_celda	configured_plugin_column_paints_header_and_cell
compare_con_limit_bajo_trunca_y_cancela	compare_with_low_limit_truncates_and_cancels
compare_devuelve_las_filas_con_valores_de_wire	compare_returns_the_rows_with_wire_values
compare_nombre_hostil_viaja_como_wire_fiel	compare_hostile_name_travels_faithfully_on_the_wire
compare_pregunta_en_left_y_right_como_contesta	compare_asks_with_the_same_names_it_answers_with
completo_exige_que_las_filas_cuadren_con_las_emitidas	complete_requires_rows_to_match_the_emitted_ones
comprobar_un_archivo_exige_que_lo_sea	checking_a_file_requires_it_to_be_one
con_algo_encima_no_se_coloca_aunque_el_path_case	with_something_on_top_it_is_not_placed_even_though_the_path_matches
con_ancho_impar_los_dos_paneles_suman_el_frame	with_odd_width_the_two_panes_add_up_to_the_frame
con_dos_browsers_el_destino_es_el_otro	with_two_browsers_the_destination_is_the_other
con_el_ancla_en_una_pestana_el_acople_va_fuera_del_grupo	with_the_anchor_on_a_tab_the_docking_goes_outside_the_group
con_el_apply_en_vuelo_escape_no_cierra	with_apply_in_flight_escape_does_not_close
con_el_panel_del_plan_delante_no_se_pide_otro	with_the_plan_pane_in_front_no_other_is_requested
con_el_rect_vacio_no_se_coloca	with_an_empty_rect_it_is_not_placed
con_el_sidebar_abierto_y_el_teclado_fuera_la_tecla_lo_enfoca	with_the_sidebar_open_and_the_keyboard_outside_the_key_focuses_it
con_el_teclado_dentro_el_sidebar_cambia_de_ancho	with_the_keyboard_inside_the_sidebar_changes_width
con_ids_repetidos_apartar_cromo_no_pierde_un_hueco	with_repeated_ids_detaching_chrome_does_not_lose_a_slot
con_la_fila_de_subir_el_listado_la_lleva_primera	with_the_parent_row_the_listing_puts_it_first
con_la_ventana_delante_no_se_avisa_fuera	with_the_window_in_front_no_outside_warning_is_shown
con_miniatura_colocada_no_se_avisa_de_nada_en_kitty	with_thumbnail_placed_nothing_is_warned_in_kitty
con_perfil_activo_el_destino_es_el_perfil	with_active_profile_the_destination_is_the_profile
con_previewer_no_se_avisa_de_nada	with_previewer_nothing_is_warned
con_tres_listados_el_destino_no_se_adivina	with_three_listings_the_destination_is_not_guessed
con_tres_paneles_cerrar_uno_vuelve_a_dos	with_three_panes_closing_one_goes_back_to_two
con_tres_paneles_no_hay_destino_hasta_que_se_designa	with_three_panes_there_is_no_destination_until_one_is_designated
con_un_campo_abierto_las_teclas_no_contestan	with_a_field_open_keys_do_not_respond
con_un_overlay_abierto_el_raton_no_toca_los_panes	with_an_overlay_open_the_mouse_does_not_touch_the_panes
con_un_overlay_delante_la_barra_no_se_pulsa	with_an_overlay_in_front_the_bar_is_not_clickable
con_un_panel_el_destino_lo_elige_el_escritorio	with_one_pane_the_desktop_chooses_the_destination
con_un_solo_hueco_ciclar_se_queda_en_el	with_a_single_slot_cycling_stays_on_it
con_un_solo_listado_una_copia_pregunta_el_destino	with_a_single_listing_a_copy_asks_for_the_destination
con_una_pestana_abierta_la_geometria_sigue_cuadrando	with_one_tab_open_the_geometry_still_adds_up
con_varios_candidatos_no_hay_destino_por_defecto	with_several_candidates_there_is_no_default_destination
conditional_write_cierra_la_ventana_de_carrera	conditional_write_closes_the_race_window
confirmacion_acepta_y_cancela	confirmation_accepts_and_cancels
confirmar_actua_sobre_el_panel_y_no_sobre_el_listado	confirming_acts_on_the_pane_and_not_on_the_listing
confirmar_aplica_y_cancelar_no_toca_nada	confirm_applies_and_cancel_touches_nothing
confirmar_el_destino_abre_el_modal_de_siempre	confirming_the_destination_opens_the_usual_modal
confirmar_el_destino_de_origen_lo_dice_en_el_prompt	confirming_the_source_destination_says_so_in_the_prompt
confirmar_es_inerte_en_el_registro_y_su_propia_tecla_lo_cierra	confirm_is_inert_in_the_log_and_its_own_key_closes_it
connect_endpoint_muerto_falla_en_el_probe	connect_to_dead_endpoint_fails_at_the_probe
copia_la_seleccion_al_otro_pane_renombrada	copies_the_selection_to_the_other_pane_renamed
copiar_compone_el_destino_en_rust	copying_composes_the_destination_in_rust
copiar_la_ruta_manda_bytes_al_escritorio	copying_the_path_sends_bytes_to_the_desktop
copiar_pide_confirmacion_y_dice_a_donde	copying_asks_for_confirmation_and_says_where_to
copiar_sobre_el_propio_directorio_se_rechaza	copying_onto_its_own_directory_is_rejected
copy_con_scope_completa_y_fuera_de_scope_es_accionable	copy_with_scope_completes_and_out_of_scope_is_actionable
copy_native_byte_exacto_nombre_hostil	copy_native_byte_exact_hostile_name
copy_native_destino_existente_es_conflict	copy_native_existing_destination_is_conflict
cr_only_se_parte_en_lineas	cr_only_splits_into_lines
criteria_vacia_es_error_en_las_dos_tools	empty_criteria_is_an_error_in_both_tools
criterio_de_salida_m3_agente_bajo_ask_con_undo	m3_exit_criteria_agent_under_ask_with_undo
ctrl_click_marca_y_desmarca_la_fila_pulsada	ctrl_click_marks_and_unmarks_the_clicked_row
cuando_no_cabe_nada_se_pinta_uno_igualmente	when_nothing_fits_one_is_painted_anyway
cursor_navega_con_topes	cursor_navigates_with_caps
de_un_conflicto_se_conservan_los_huecos_ajenos	from_a_conflict_the_other_slots_are_kept
deny_unknown_rechaza_secreto_inline	deny_unknown_rejects_inline_secret
desconectar_no_vuelve_a_la_misma_maquina	disconnecting_does_not_return_to_the_same_machine
desconectar_vuelve_a_donde_estaba_antes	disconnecting_returns_to_where_it_was_before
dialog_context_se_parsea_y_construye	dialog_context_is_parsed_and_built
display_marca_toda_perdida_y_neutraliza_controles	display_marks_everything_lost_and_neutralizes_controls
dock_izquierda_entra_en_el_split_del_cuerpo	dock_left_enters_the_body_split
dos_browsers_al_cincuenta_por_ciento	two_browsers_at_fifty_percent
dos_clicks_lejanos_en_tiempo_o_en_fila_no_son_un_doble	two_clicks_far_apart_in_time_or_row_are_not_a_double
dos_gemelos_de_caja_hacia_un_destino_sensible_si_se_encolan	two_box_twins_toward_a_sensitive_destination_if_queued
dos_listados_cojos_de_ejes_distintos_no_hacen_una_pantalla_buena	two_lame_listings_of_different_axes_do_not_make_a_good_screen
dos_marcados_son_la_pareja	two_marked_ones_are_the_pair
dos_marcas_que_pliegan_al_mismo_nombre_no_se_encolan	two_marks_that_fold_to_the_same_name_do_not_queue
dos_nombres_invalidos_distintos_siguen_siendo_distintos	two_different_invalid_names_stay_different
dos_nombres_que_colapsan_en_texto_no_colapsan_aqui	two_names_that_collapse_in_text_do_not_collapse_here
drop_entero_cierra_el_pipeline	dropping_entirely_closes_the_pipeline
echo_del_servidor_no_llega_al_error	server_echo_does_not_reach_the_error
editar_uno_nuevo_crea_el_fichero_y_lo_abre	editing_a_new_one_creates_the_file_and_opens_it
editar_uno_nuevo_no_se_ofrece_en_un_panel_remoto	editing_a_new_one_is_not_offered_in_a_remote_pane
el_alias_cuenta_como_su_modificador_para_el_repetido	the_alias_counts_as_its_modifier_for_the_repeat
el_anillo_no_se_para_en_la_hoja_de_atributos	the_ring_does_not_stop_at_the_attributes_sheet
el_arbol_agrupa_por_carpeta	the_tree_groups_by_directory
el_arbol_hace_round_trip	the_tree_round_trips
el_arbol_pide_una_rama_y_solo_al_abrirla	the_tree_requests_a_branch_and_only_when_opening_it
el_arbol_sigue_al_listado_que_navega	the_tree_follows_the_listing_that_navigates
el_aviso_de_bloques_y_el_de_kitty_son_textos_distintos	the_blocks_warning_and_the_kitty_one_are_different_texts
el_aviso_no_se_come_la_posicion_de_scroll	the_warning_does_not_eat_the_scroll_position
el_aviso_no_se_come_la_posicion_de_scroll_en_ingles	the_warning_does_not_eat_the_scroll_position_in_english
el_borde_de_los_detalles_se_arrastra_desde_el_segundo_listado	the_details_edge_is_dragged_from_the_second_listing
el_borde_del_registro_se_arrastra_desde_los_detalles	the_log_edge_is_dragged_from_the_details
el_borde_derecho_salta_despues_y_no_antes	the_right_edge_jumps_after_and_not_before
el_borde_entre_primos_mueve_su_pareja	the_edge_between_cousins_moves_its_pair
el_boton_de_una_pestana_actua_sobre_su_grupo_y_no_sobre_el_del_foco	a_tab_button_acts_on_its_group_and_not_on_the_focused_one
el_browser_declara_su_minimo_y_puede_tomar_los_dos_roles	the_browser_declares_its_minimum_and_can_take_both_roles
el_bundle_no_llama_a_casa	the_bundle_does_not_phone_home
el_campo_lee_las_formas_de_chmod	the_field_reads_the_chmod_forms
el_catalogo_de_tools_no_tiene_dos_convenciones	the_tools_catalog_does_not_have_two_conventions
el_catalogo_lleva_la_version_del_host	the_catalog_carries_the_host_version
el_catalogo_va_y_vuelve_con_los_mismos_campos	the_catalog_goes_and_returns_with_the_same_fields
el_catalogo_y_la_busqueda_dicen_lo_mismo	the_catalog_and_the_search_say_the_same_thing
el_centro_no_mezcla_listados_y_paneles	the_center_does_not_mix_listings_and_panes
el_cero_no_abre_un_contador_pero_si_acumula	zero_does_not_open_a_counter_but_it_does_accumulate
el_cero_sigue_siendo_ligable_con_contadores	zero_is_still_bindable_with_counters
el_colapso_propaga_hacia_arriba	the_collapse_propagates_upward
el_color_exacto_y_el_indice_alto_no_se_confunden	the_exact_color_and_the_high_index_are_not_confused
el_contador_ni_desborda_ni_se_pega_a_la_tecla_siguiente	the_counter_neither_overflows_nor_sticks_to_the_next_key
el_contador_puede_arrancar_donde_se_diga	the_counter_can_start_wherever_told
el_contador_topa_en_cuatro_digitos	the_counter_caps_at_four_digits
el_copy_del_comando_deja_rastro_deshacible_en_el_journal	the_command_copy_leaves_an_undoable_trail_in_the_journal
el_corpus_hostil_cruza_el_dialogo_de_aprobacion	the_hostile_corpus_crosses_the_approval_dialog
el_corpus_hostil_no_ensucia_ninguna_celda	the_hostile_corpus_does_not_dirty_any_cell
el_corpus_no_nombra_comandos_que_no_existen	the_corpus_does_not_name_commands_that_do_not_exist
el_corpus_que_enviamos_esta_integro	the_corpus_we_send_is_intact
el_corte_dice_a_que_capa_apunta	the_cut_says_which_layer_it_points_to
el_corte_por_la_izquierda_mantiene_la_rejilla	the_cut_from_the_left_keeps_the_grid
el_cromo_no_se_aparta_si_apartarlo_no_arregla_nada	the_chrome_is_not_removed_if_removing_it_fixes_nothing
el_cromo_se_aparta_antes_de_dejar_la_pantalla_sin_listado	the_chrome_is_removed_before_leaving_the_screen_without_a_listing
el_cuerpo_de_una_confirmacion_marca_lo_que_enmascara	the_body_of_a_confirmation_marks_what_it_masks
el_cursor_arranca_sobre_una_cabecera	the_cursor_starts_on_a_header
el_cursor_espera_a_su_listado	the_cursor_waits_for_its_listing
el_cursor_salta_las_cabeceras	the_cursor_skips_the_headers
el_cursor_se_encadena_y_las_perdidas_se_acumulan	the_cursor_chains_and_the_losses_accumulate
el_cursor_se_mueve_se_esconde_y_la_pantalla_se_borra	the_cursor_moves_hides_and_the_screen_clears
el_cursor_se_queda_dentro	the_cursor_stays_inside
el_cursor_sobrevive_a_un_refresco	the_cursor_survives_a_refresh
el_debug_del_modal_no_lleva_el_secreto	the_modal_debug_does_not_carry_the_secret
el_desplazamiento_cuenta_las_dos_fuentes	the_scroll_counts_both_sources
el_destino_designado_se_marca_y_solo_cuando_hace_falta	the_designated_destination_is_marked_and_only_when_needed
el_destino_por_defecto_no_sobrevive_a_un_tercer_panel	the_default_destination_does_not_survive_a_third_pane
el_destino_se_compone_byte_a_byte	the_destination_is_composed_byte_by_byte
el_diagnostico_tambien_reporta_las_dos_reglas_nuevas	the_diagnostic_also_reports_the_two_new_rules
el_dialogo_de_colision_marca_el_nombre_alterado	the_collision_dialog_marks_the_altered_name
el_dialogo_de_contrasena_pinta_puntos_y_no_el_texto	the_password_dialog_paints_dots_and_not_the_text
el_dialogo_de_copia_avisa_de_espacio_y_de_confinamiento	the_copy_dialog_warns_about_space_and_confinement
el_directorio_y_el_orden_vuelven	the_directory_and_the_order_come_back
el_doble_click_pide_el_mismo_nav_enter_del_teclado	the_double_click_requests_the_same_nav_enter_as_the_keyboard
el_editor_de_config_cicla_teclea_y_valida	the_config_editor_cycles_types_and_validates
el_error_de_plan_nombra_el_tope_en_vez_de_decir_internal	the_plan_error_names_the_cap_instead_of_saying_internal
el_escritorio_lo_ofrece_para_abrir_carpetas	the_desktop_offers_it_to_open_directories
el_espacio_alrededor_no_estorba	the_surrounding_space_does_not_get_in_the_way
el_espacio_tras_la_bandera_da_igual	the_space_after_the_flag_does_not_matter
el_estado_viaja_con_nombre_y_el_fallo_con_su_causa	the_status_travels_with_a_name_and_the_failure_with_its_cause
el_exec_entrega_una_ruta_y_no_una_url	the_exec_delivers_a_path_and_not_a_url
el_favorito_roto_se_pinta_marcado_y_atenuado	the_broken_favorite_is_painted_marked_and_dimmed
el_fichero_del_usuario_gana_al_preset	the_user_file_wins_over_the_preset
